code,fiscal_year,record_date,announcement_date,announcement_time,cash_ex_date,cash_payment_date,cash_dividend,stock_ex_date,stock_payment_date,stock_dividend
2892,109年,2021-09-03,2021-08-11,17:07:52,2021-08-26,2021-09-15,0.9,2021-08-26,2021-10-04,0.1
2892,110年,2022-08-12,2022-07-20,17:39:44,2022-08-04,2022-08-25,1.0,2022-08-04,2022-09-14,0.2
2892,111年,2023-08-19,2023-07-27,17:08:03,2023-08-11,2023-08-31,0.8,2023-08-11,2023-09-20,0.3
2892,112年,2024-08-16,2024-07-26,11:40:16,2024-08-08,2024-08-28,0.85,2024-08-08,2024-09-18,0.3
2892,113年,2025-08-15,2025-07-24,09:38:15,2025-08-07,2025-08-27,0.95,2025-08-07,2025-09-24,0.25
2892,114年,2026-08-17,2026-07-27,17:50:11,2026-08-11,2026-08-28,1.3,,,0.0
5880,100年,2012-08-08,2012-07-26,19:08:57,2012-08-02,2012-09-03,0.5,2012-08-02,2012-09-27,0.5
5880,101年,2013-08-20,2013-07-30,18:22:16,2013-08-14,2013-10-09,0.4,2013-08-14,2013-10-03,0.6000000000000001
5880,102年,2014-08-25,2014-08-05,16:13:54,2014-08-19,2014-10-08,0.5,2014-08-19,2014-10-08,0.5
5880,103年,2015-02-08,2015-01-26,18:05:51,,,0.0,2015-02-02,,0.0
5880,103年,2015-08-19,2015-07-29,18:17:55,2015-08-13,2015-09-25,0.5,2015-08-13,2015-09-25,0.5
5880,104年,2016-08-16,2016-07-27,16:17:10,2016-08-10,2016-09-14,0.3,2016-08-10,2016-09-14,0.7
5880,105年,2017-08-22,2017-08-15,10:14:42,2017-08-16,2017-09-18,0.75,2017-08-16,2017-09-18,0.3
5880,106年,2018-08-27,2018-08-06,16:49:24,2018-08-21,2018-09-21,0.75,2018-08-21,2018-09-21,0.3
5880,107年,2019-08-20,2019-07-30,16:03:50,2019-08-14,2019-09-18,0.75,2019-08-14,2019-09-18,0.3
5880,108年,2020-08-18,2020-07-28,15:24:55,2020-08-12,2020-09-16,0.85,2020-08-12,2020-09-16,0.3
5880,109年,2021-08-17,2021-07-27,17:11:23,2021-08-11,2021-08-31,0.85,,,0.0
5880,109年,2021-09-14,2021-08-25,12:00:09,,,0.0,2021-09-08,2021-10-13,0.2
5880,110年,2022-08-16,2022-07-27,16:40:40,2022-08-10,2022-09-13,1.0,2022-08-10,2022-09-13,0.3
5880,111年,2023-08-15,2023-07-25,09:40:13,2023-08-09,2023-09-12,0.5,2023-08-09,2023-09-12,0.5
5880,112年,2024-08-20,2024-07-30,17:23:10,2024-08-14,2024-09-16,0.65,2024-08-14,2024-09-16,0.35
5880,113年,2025-08-19,2025-07-29,16:18:09,2025-08-13,2025-09-16,0.7,2025-08-13,2025-10-07,0.3
5880,114年,2026-08-17,2026-07-27,17:55:48,2026-08-11,2026-09-11,0.8,2026-08-11,2026-09-11,0.25
2412,98年,2010-08-19,2010-07-28,15:05:31,2010-08-12,2010-09-10,4.06,,,0.0
2412,99年,2011-07-27,2011-06-30,18:13:40,2011-07-21,2011-08-17,5.5243,,,0.0
2412,100年,2012-07-23,2012-06-29,09:41:42,2012-07-17,2012-08-22,5.4608,,,0.0
2412,101年,2013-07-23,2013-07-03,13:17:27,2013-07-17,2013-08-23,5.3500000000000005,,,0.0
2412,102年,2014-07-23,2014-06-25,10:25:30,2014-07-17,2014-08-27,4.5251,,,0.0
2412,103年,2015-07-23,2015-06-29,14:06:11,2015-07-16,2015-08-27,4.8564,,,0.0
2412,104年,2016-07-28,2016-06-27,10:29:46,2016-07-21,2016-08-26,5.4852,,,0.0
2412,105年,2017-07-29,2017-06-26,17:13:07,2017-07-21,2017-08-25,4.9419,,,0.0
2412,106年,2018-07-29,2018-06-20,17:40:41,2018-07-23,2018-08-24,4.796,,,0.0
2412,107年,2019-07-31,2019-06-24,10:56:26,2019-07-25,2019-08-28,4.479,,,0.0
2412,108年,2020-07-08,2020-06-09,09:19:14,2020-07-02,2020-08-06,4.226,,,0.0
2412,109年,2021-08-31,2021-08-09,14:53:30,2021-08-25,2021-09-28,4.306,,,0.0
2412,110年,2022-07-07,2022-06-02,15:14:18,2022-06-30,2022-08-05,4.608,,,0.0
2412,111年,2023-07-06,2023-06-05,11:36:27,2023-06-29,2023-08-04,4.702,,,0.0
2412,112年,2024-07-12,2024-06-17,16:18:06,2024-07-04,2024-08-08,4.758,,,0.0
2412,113年,2025-07-11,2025-06-10,14:07:31,2025-07-03,2025-08-08,5.0,,,0.0
2412,114年,2026-07-15,2026-06-15,12:06:38,2026-07-09,2026-08-07,5.2,,,0.0
3045,98年,2010-07-11,2010-06-18,18:15:16,2010-07-05,2010-07-23,5.02783,,,0.0
3045,99年,2011-07-08,2011-06-16,09:19:55,2011-06-30,2011-07-21,4.1619,,,0.0
3045,100年,2012-07-15,2012-06-22,18:23:27,2012-07-09,2012-07-27,5.16,,,0.0
3045,101年,2013-07-14,2013-06-21,17:04:38,2013-07-08,2013-07-26,5.5,,,0.0
3045,102年,2014-07-05,2014-06-12,15:31:37,2014-06-27,2014-07-18,5.6,,,0.0
3045,103年,2015-07-04,2015-06-10,16:27:59,2015-06-26,2015-07-17,5.6,,,0.0
3045,104年,2016-07-06,2016-06-15,17:23:52,2016-06-30,2016-07-21,5.6,,,0.0
3045,105年,2017-07-17,2017-06-15,11:35:10,2017-07-11,2017-08-03,5.6000000000000005,,,0.0
3045,106年,2018-07-16,2018-06-13,09:22:09,2018-07-10,2018-08-01,5.6,,,0.0
3045,107年,2019-07-15,2019-06-21,16:31:18,2019-07-09,2019-07-31,5.54897,,,0.0
3045,108年,2020-07-25,2020-07-01,17:35:11,2020-07-17,2020-08-12,4.75,,,0.0
3045,109年,2021-08-29,2021-08-09,10:22:57,2021-08-23,2021-09-11,4.29953,,,0.0
3045,110年,2022-07-16,2022-06-24,08:55:48,2022-07-08,2022-08-03,4.3,,,0.0
3045,111年,2023-07-08,2023-06-14,09:27:33,2023-06-30,2023-07-26,4.3,,,0.0
3045,112年,2024-07-14,2024-06-21,17:22:45,2024-07-08,2024-07-31,4.300000000000001,,,0.0
3045,113年,2025-07-15,2025-06-24,14:41:56,2025-07-09,2025-07-31,4.5,,,0.0
3045,114年,2026-07-15,2026-06-24,17:39:33,2026-07-09,2026-07-31,4.74428,,,0.0
4904,98年,2010-08-16,2010-06-28,09:06:23,2010-08-10,2010-09-10,2.8,,,0.0
4904,99年,2011-07-25,2011-06-24,11:35:49,2011-07-19,2011-08-23,2.5,,,0.0
4904,100年,2012-07-30,2012-07-04,10:07:05,2012-07-24,2012-08-22,3.0,,,0.0
4904,101年,2013-07-30,2013-07-01,16:39:36,2013-07-24,2013-08-15,3.5,,,0.0
4904,102年,2014-07-22,2014-06-25,11:46:28,2014-07-16,2014-08-08,3.75,,,0.0
4904,103年,2015-07-21,2015-06-22,10:05:22,2015-07-15,2015-08-07,3.75,,,0.0
4904,104年,2016-07-18,2016-06-16,15:27:14,2016-07-12,2016-08-05,3.75,,,0.0
4904,105年,2017-07-18,2017-06-23,18:20:21,2017-07-12,2017-08-04,3.75,,,0.0
4904,106年,2018-07-17,2018-06-19,14:44:01,2018-07-11,2018-08-03,3.75,,,0.0
4904,107年,2019-07-22,2019-06-18,14:56:32,2019-07-16,2019-08-07,3.75,,,0.0
4904,108年,2020-07-20,2020-06-19,15:49:43,2020-07-14,2020-08-07,3.25,,,0.0
4904,109年,2021-07-31,2021-07-06,16:19:34,2021-07-23,2021-08-19,3.25,,,0.0
4904,110年,2022-07-20,2022-06-14,16:02:09,2022-07-14,2022-08-17,3.25,,,0.0
4904,111年,2023-07-11,2023-05-31,18:27:44,2023-07-05,2023-08-07,3.25,,,0.0
4904,112年,2024-07-16,2024-06-24,09:33:25,2024-07-10,2024-08-07,3.25,,,0.0
4904,113年,2025-07-15,2025-05-23,11:08:02,2025-07-09,2025-08-06,3.56,,,0.0
4904,114年,2026-07-14,2026-05-20,17:58:30,2026-07-08,2026-08-05,3.80928186,,,0.0
0050,99,2010-10-31,,,2010-10-25,2010-11-26,2.2,,,0.0
0050,100,2011-11-01,,,2011-10-26,2011-11-29,1.95,,,0.0
0050,101,2012-10-30,,,2012-10-24,2012-11-27,1.85,,,0.0
0050,102,2013-10-30,,,2013-10-24,2013-11-27,1.35,,,0.0
0050,103,2014-11-01,,,2014-10-24,2014-11-27,1.55,,,0.0
0050,104,2015-11-01,,,2015-10-26,2015-11-26,2.0,,,0.0
0050,105,2016-08-03,,,2016-07-28,2016-08-30,0.85,,,0.0
0050,106,2017-02-14,,,2017-02-08,2017-03-14,1.7,,,0.0
0050,106,2017-08-06,,,2017-07-31,2017-08-31,0.7,,,0.0
0050,107,2018-02-04,,,2018-01-29,2018-03-13,2.2,,,0.0
0050,107,2018-07-29,,,2018-07-23,2018-08-27,0.7,,,0.0
0050,108,2019-01-28,,,2019-01-22,2019-03-08,2.3,,,0.0
0050,108,2019-07-27,,,2019-07-19,2019-08-22,0.7,,,0.0
0050,109,2020-02-08,,,2020-01-31,2020-03-06,2.9,,,0.0
0050,109,2020-07-27,,,2020-07-21,2020-08-24,0.7,,,0.0
0050,110,2021-01-30,,,2021-01-22,2021-03-09,3.05,,,0.0
0050,110,2021-07-27,,,2021-07-21,2021-08-24,0.35,,,0.0
0050,111,2022-01-29,,,2022-01-21,2022-03-04,3.2,,,0.0
0050,111,2022-07-24,,,2022-07-18,2022-08-19,1.8,,,0.0
0050,112,2023-02-05,,,2023-01-30,2023-03-07,2.6,,,0.0
0050,112,2023-07-24,,,2023-07-18,2023-08-11,1.9,,,0.0
0050,113,2024-01-23,,,2024-01-17,2024-02-21,3.0,,,0.0
0050,113,2024-07-22,,,2024-07-16,2024-08-09,1.0,,,0.0
0050,114,2025-01-25,,,2025-01-17,2025-02-20,2.7,,,0.0
0050,114,2025-07-27,,,2025-07-21,2025-08-08,0.36,,,0.0
0050,115,2026-01-28,,,2026-01-22,2026-02-11,1.0,,,0.0
0050,115,2026-07-27,,,2026-07-21,2026-08-10,0.6,,,0.0
2884,98年,2010-08-27,2010-08-03,12:08:15,2010-08-19,2010-09-21,0.1988502,2010-08-19,2010-09-21,0.39770039
2884,100年,2011-08-23,2011-08-11,09:51:28,,,0.0,2011-08-17,,0.0
2884,99年,2011-09-02,2011-08-01,16:46:40,2011-08-25,2011-09-29,0.2,2011-08-25,2011-09-29,0.7
2884,100年,2012-08-24,2012-07-30,17:48:38,2012-08-16,2012-09-21,0.2,2012-08-16,2012-09-21,0.5
2884,101年,2013-08-23,2013-07-31,20:19:35,2013-08-15,2013-09-18,0.3,2013-08-15,2013-09-18,1.0
2884,103年,2014-04-26,2014-04-11,17:31:15,,,0.0,2014-04-18,,0.0
2884,102年,2014-08-29,2014-08-06,15:20:17,2014-08-21,2014-09-19,0.27642623,2014-08-21,2014-09-19,0.89169752
2884,103年,2015-08-07,2015-07-13,17:28:44,2015-07-30,2015-08-31,0.4346757,2015-07-30,2015-08-31,0.8693514
2884,104年,2016-08-05,2016-07-13,17:57:40,2016-07-28,2016-08-29,0.43,2016-07-28,2016-08-29,1.0
2884,106年,2017-04-22,2017-04-07,17:47:39,,,0.0,2017-04-14,,0.0
2884,105年,2017-08-15,2017-07-19,17:52:19,2017-08-09,2017-09-11,0.49080461,2017-08-09,2017-09-11,0.74083715
2884,106年,2018-08-03,2018-07-10,11:51:50,2018-07-26,2018-08-27,0.61258403,2018-07-26,2018-08-27,0.61261597
2884,107年,2019-08-02,2019-07-10,10:03:41,2019-07-25,2019-08-27,0.70998595,2019-07-25,2019-08-27,0.71101405
2884,108年,2020-08-03,2020-07-10,17:28:08,2020-07-28,2020-08-26,0.79106382,2020-07-28,2020-08-26,0.79693618
2884,109年,2021-09-06,2021-08-16,16:47:34,2021-08-31,2021-09-24,0.61,2021-08-31,2021-09-30,0.61111951
2884,110年,2022-08-04,2022-07-14,09:27:20,2022-07-28,2022-08-31,0.67,2022-07-28,2022-08-31,0.67392509
2884,不適用,2023-04-15,2023-03-28,15:59:24,,,0.0,2023-04-07,,0.0
2884,111年,2023-08-03,2023-07-12,16:42:46,2023-07-27,2023-08-30,0.18938647,2023-07-27,2023-08-30,0.37877029
2884,112年,2024-08-02,2024-07-08,18:00:33,2024-07-25,2024-08-29,1.2,2024-07-25,2024-08-29,0.20033197
2884,113年,2025-07-28,2025-07-07,09:27:12,2025-07-22,2025-08-27,1.2,2025-07-22,2025-08-27,0.10015129
2884,114年,2026-07-07,2026-06-12,16:48:50,2026-07-01,2026-07-27,1.4,,,0.0
2885,98年,2010-07-15,2010-06-24,09:52:37,2010-07-08,2010-07-29,0.9,,,0.0
2885,99年,2011-08-31,2011-08-10,15:07:19,,,0.0,2011-08-25,2011-09-29,0.9172861
2885,100年,2012-07-31,2012-06-27,11:43:10,2012-07-25,2012-08-16,0.2,,,0.0
2885,101年,2013-07-29,2013-07-05,11:02:45,2013-07-23,2013-08-12,0.55,,,0.0
2885,102年,2014-07-02,2014-06-11,14:28:41,2014-06-26,2014-07-18,0.65,,,0.0
2885,102年,2014-08-26,2014-08-01,15:36:32,,,0.0,2014-08-20,2014-09-30,0.25
2885,103年,2015-07-22,2015-07-01,10:38:28,2015-07-16,2015-08-05,0.617839,,,0.0
2885,103年,2015-08-20,2015-07-29,17:45:12,,,0.0,2015-08-13,2015-10-02,0.2622902
2885,104年,2016-07-23,2016-06-30,15:56:39,2016-07-15,2016-08-10,0.360995,,,0.0
2885,105年,2017-07-22,2017-06-29,15:57:41,2017-07-14,2017-08-09,0.44777,,,0.0
2885,106年,2018-07-10,2018-06-19,16:02:58,2018-07-04,2018-07-27,0.556315,,,0.0
2885,107年,2019-07-08,2019-06-18,11:58:08,2019-07-02,2019-07-26,0.9,,,0.0
2885,108年,2020-07-05,2020-06-10,17:22:00,2020-06-29,2020-07-22,0.65,,,0.0
2885,108年,2020-08-23,2020-07-31,12:00:35,,,0.0,2020-08-17,2020-09-30,0.4
2885,109年,2021-07-17,2021-06-24,16:57:01,2021-07-09,2021-07-21,1.2,,,0.0
2885,110年,2022-07-04,2022-06-13,18:04:07,2022-06-28,2022-07-22,1.5,,,0.0
2885,110年,2022-08-20,2022-07-28,16:52:45,,,0.0,2022-08-12,2022-09-26,0.3
2885,111年,2023-07-07,2023-06-12,17:48:55,2023-06-29,2023-07-26,0.8,,,0.0
2885,111年,2023-08-19,2023-07-27,14:26:02,,,0.0,2023-08-11,2023-10-02,0.15
2885,112年,2024-07-03,2024-06-12,17:17:49,2024-06-27,2024-07-24,1.1,,,0.0
2885,112年,2024-08-18,2024-07-26,16:53:24,,,0.0,2024-08-12,2024-09-13,0.2
2885,113年,2025-07-07,2025-06-16,17:19:23,2025-07-01,2025-07-23,1.55,,,0.0
2885,113年,2025-08-18,2025-07-28,16:21:09,,,0.0,2025-08-12,2025-09-12,0.3
2885,114年,2026-07-27,2026-07-07,07:50:39,2026-07-21,2026-08-14,1.8,,,0.0
2885,114年,2026-08-24,2026-08-03,09:10:49,,,0.0,2026-08-18,2026-09-24,0.4
2890,98年,2010-07-20,2010-06-29,10:21:22,2010-07-14,2010-08-20,0.11557236,,,0.0
2890,99年,2011-08-14,2011-07-22,17:02:42,2011-08-08,2011-09-07,0.15024625,2011-08-08,2011-09-19,0.43
2890,100年,2012-07-16,2012-06-25,17:16:45,2012-07-10,2012-08-10,0.13547466,,,0.0
2890,100年,2012-08-13,2012-07-23,16:31:00,,,0.0,2012-08-07,2012-09-14,0.316
2890,101年,2013-08-20,2013-07-30,16:33:29,2013-08-14,2013-09-13,0.33338378,2013-08-14,2013-09-24,0.79642212
2890,102年,2014-09-06,2014-08-15,09:24:04,2014-08-29,2014-10-06,0.335,2014-08-29,2014-10-06,0.808
2890,103年,2014-10-13,2014-09-29,14:34:56,,,0.0,2014-10-07,,0.0
2890,103年,2015-08-17,2015-07-27,17:41:11,2015-08-11,2015-09-17,0.5,2015-08-11,2015-09-17,0.736
2890,104年,2016-08-17,2016-07-26,15:19:49,2016-08-11,2016-09-14,0.432,2016-08-11,2016-09-14,0.5
2890,105年,2017-09-24,2017-09-04,09:46:41,2017-09-18,2017-10-25,0.344,2017-09-18,2017-10-25,0.35
2890,106年,2018-08-21,2018-07-26,17:25:26,2018-08-15,2018-09-19,0.5,2018-08-15,2018-09-19,0.2
2890,107年,2019-07-17,2019-06-26,14:50:20,2019-07-11,2019-08-15,0.636,,,0.0
2890,108年,2020-06-17,2020-05-25,15:25:55,2020-06-11,2020-07-16,0.7,,,0.0
2890,109年,2021-08-18,2021-07-27,15:14:13,2021-08-12,2021-09-16,0.7,,,0.0
2890,110年,2022-08-16,2022-07-26,11:50:46,2022-08-10,2022-09-14,0.8,2022-08-10,2022-09-14,0.1
2890,不適用,2023-02-13,2023-01-31,16:37:43,,,0.0,2023-02-07,,0.0
2890,111年,2023-08-15,2023-07-24,16:04:00,2023-08-09,2023-09-13,0.6,2023-08-09,2023-09-13,0.2
2890,112年,2024-08-28,2024-08-07,10:12:47,2024-08-22,2024-09-27,0.75,2024-08-22,2024-09-27,0.25
2890,113年,2025-08-27,2025-08-06,11:57:49,2025-08-21,2025-09-22,0.91,2025-08-21,2025-09-22,0.34
2890,114年,2026-07-29,2026-07-07,11:03:34,2026-07-23,2026-08-24,1.1,2026-07-23,2026-08-24,0.2
2891,98年,2010-08-04,2010-07-14,09:27:33,2010-07-29,,0.64,,,0.0
2891,98年,2010-09-06,2010-08-16,19:05:19,,,0.0,2010-08-31,2010-10-08,0.64
2891,99年,2011-07-25,2011-07-01,15:37:50,2011-07-19,2011-08-16,0.73,,,0.0
2891,99年,2011-09-19,2011-08-26,16:58:41,,,0.0,2011-09-13,2011-10-28,0.71965434
2891,101年,2012-02-18,2012-02-04,16:49:40,,,0.0,2012-02-10,,0.0
2891,100年,2012-07-23,2012-07-02,15:08:14,2012-07-17,2012-08-10,0.4,,,0.0
2891,100年,2012-09-24,2012-09-03,12:06:54,,,0.0,2012-09-18,2012-10-23,0.88
2891,102年,2013-02-25,2013-02-01,18:33:53,,,0.0,2013-02-19,,0.0
2891,101年,2013-07-23,2013-07-02,19:18:45,2013-07-17,2013-08-14,0.71,,,0.0
2891,101年,2013-08-25,2013-08-02,17:48:45,,,0.0,2013-08-19,2013-09-30,0.7
2891,102年,2014-07-15,2014-06-26,17:03:52,2014-07-09,2014-08-05,0.38,,,0.0
2891,103年,2014-09-24,2014-09-02,09:16:12,,,0.0,2014-09-18,2014-11-12,0.36996335
2891,103年,2015-08-14,2015-07-22,19:14:59,2015-08-06,2015-08-31,0.81,2015-08-06,2015-09-18,0.81
2891,104年,2016-08-06,2016-07-14,11:43:57,2016-07-29,2016-08-26,0.81,,,0.0
2891,104年,2016-10-18,2016-09-26,14:28:22,,,0.0,2016-10-12,2016-11-15,0.8
2891,105年,2017-07-23,2017-06-30,18:10:57,2017-07-17,2017-08-11,1.0,,,0.0
2891,106年,2017-11-06,2017-10-24,17:06:12,,,0.0,2017-10-31,,0.0
2891,106年,2018-07-15,2018-06-22,15:41:47,2018-07-09,2018-08-03,1.08,,,0.0
2891,107年,2019-02-19,2019-01-29,14:48:56,,,0.0,2019-02-13,,0.0
2891,107年,2019-07-21,2019-07-01,10:55:27,2019-07-15,2019-08-09,1.0,,,0.0
2891,108年,2020-07-19,2020-06-29,11:02:15,2020-07-13,2020-08-07,1.0,,,0.0
2891,109年,2021-08-22,2021-08-02,15:39:31,2021-08-16,2021-09-10,1.05,,,0.0
2891,110年,2022-07-20,2022-06-30,10:23:04,2022-07-14,2022-08-12,1.25,,,0.0
2891,111年,2023-08-12,2023-07-18,11:18:29,2023-08-04,2023-08-31,1.00002571,,,0.0
2891,112年,2024-07-21,2024-07-02,10:33:03,2024-07-15,2024-08-09,1.80013604,,,0.0
2891,113年,2025-07-20,2025-07-01,11:21:59,2025-07-14,2025-08-08,2.30041091,,,0.0
2891,114年,2026-07-18,2026-06-25,14:47:55,2026-07-10,2026-08-07,2.50023939,,,0.0
2881,98年,2010-08-17,2010-08-06,17:25:45,2010-08-11,2010-09-01,1.99785506,2010-08-11,2010-09-21,0.49946376
2881,99年,2011-08-23,2011-08-03,09:53:12,2011-08-17,2011-09-09,0.9989142,2011-08-17,2011-09-30,0.4994571
2881,100年,2012-08-15,2012-07-23,11:11:54,2012-08-09,2012-09-05,0.99873978,2012-08-09,2012-09-21,0.4993698916
2881,101年,2013-07-07,2013-06-17,10:25:06,2013-07-01,2013-07-26,1.0,,,0.0
2881,102年,2014-06-29,2014-06-09,09:31:30,2014-06-23,2014-07-30,1.5,,,0.0
2881,103年,2015-07-06,2015-06-15,10:06:55,2015-06-30,2015-07-24,3.0,,,0.0
2881,105年,2016-03-30,2016-03-17,17:48:19,,,0.0,2016-03-24,,0.0
2881,104年,2016-07-03,2016-06-08,17:19:16,2016-06-27,2016-07-21,2.0,,,0.0
2881,105年,2017-07-09,2017-06-16,17:53:19,2017-07-03,2017-07-28,2.0,,,0.0
2881,106年,2018-02-16,2018-02-01,16:39:22,,,0.0,2018-02-08,,0.0
2881,106年,2018-07-02,2018-06-08,18:02:18,2018-06-26,2018-07-23,2.3,,,0.0
2881,107年,2019-07-12,2019-06-14,18:01:42,2019-07-04,2019-08-08,2.0,,,0.0
2881,108年,2020-07-07,2020-06-12,17:31:39,2020-07-01,2020-07-28,2.0,,,0.0
2881,109年,2021-08-01,2021-07-09,17:24:12,2021-07-26,2021-08-24,3.0,,,0.0
2881,不適用,2021-09-12,2021-08-30,16:38:32,,,0.0,2021-09-06,2021-10-29,1.0
2881,110年,2022-08-02,2022-07-12,17:09:44,2022-07-27,2022-08-25,3.5,,,0.0
2881,110年,2022-09-28,2022-09-06,16:29:56,,,0.0,2022-09-22,2022-10-31,0.5
2881,111年,2023-07-26,2023-07-06,10:07:32,2023-07-20,2023-08-18,1.5,,,0.0
2881,111年,2023-09-10,2023-08-22,11:54:38,,,0.0,2023-09-04,2023-10-13,0.5
2881,112年,2024-07-27,2024-07-04,16:55:59,2024-07-19,2024-08-21,2.5,,,0.0
