fill_id,settle_date,settlement_cash,code,side
2026-08-31-5880-BUY,2026-09-03,-6498396.182304,5880,BUY
2026-09-01-2412-SELL,2026-09-04,4348985.77932,2412,SELL
2026-09-01-3045-SELL,2026-09-04,4369894.3647975,3045,SELL
2026-09-01-4904-SELL,2026-09-04,4402750.713405,4904,SELL
2026-09-01-0050-BUY,2026-09-04,-5812868.2566375,0050,BUY
2026-09-01-2880-BUY,2026-09-04,-3066500.7934046253,2880,BUY
2026-09-01-2886-BUY,2026-09-04,-3043870.160743125,2886,BUY
2026-09-01-2892-BUY,2026-09-04,-3025845.763048125,2892,BUY
2026-09-01-5880-BUY,2026-09-04,-3076163.87328,5880,BUY
2026-09-02-2412-SELL,2026-09-07,3696339.21834375,2412,SELL
2026-09-02-3045-SELL,2026-09-07,3695841.39488,3045,SELL
2026-09-02-4904-SELL,2026-09-07,3673937.162475,4904,SELL
2026-09-02-0050-BUY,2026-09-07,-3318391.7511922503,0050,BUY
2026-09-02-2880-BUY,2026-09-07,-2190865.5398272504,2880,BUY
2026-09-02-2886-BUY,2026-09-07,-2207988.7176375,2886,BUY
2026-09-02-2892-BUY,2026-09-07,-2214247.189059375,2892,BUY
2026-09-02-5880-BUY,2026-09-07,-2212194.410433,5880,BUY
2026-09-03-0050-SELL,2026-09-08,2148929.327835,0050,SELL
2026-09-03-2412-SELL,2026-09-08,2610586.243905,2412,SELL
2026-09-03-3045-SELL,2026-09-08,2690735.8215687503,3045,SELL
2026-09-03-4904-SELL,2026-09-08,2666342.4718450005,4904,SELL
2026-09-03-2880-BUY,2026-09-08,-2716176.5970937493,2880,BUY
2026-09-03-2886-BUY,2026-09-08,-2696049.3530010004,2886,BUY
2026-09-03-2892-BUY,2026-09-08,-2701006.062367125,2892,BUY
2026-09-03-5880-BUY,2026-09-08,-2432993.28219675,5880,BUY
2026-09-04-2412-SELL,2026-09-09,2206353.5913400003,2412,SELL
2026-09-04-3045-SELL,2026-09-09,2232240.411455,3045,SELL
2026-09-04-4904-SELL,2026-09-09,2184947.18239875,4904,SELL
2026-09-04-0050-BUY,2026-09-09,-545989.046844375,0050,BUY
2026-09-04-2880-BUY,2026-09-09,-1566620.56632375,2880,BUY
2026-09-04-2886-BUY,2026-09-09,-1564517.7199259999,2886,BUY
2026-09-04-2892-BUY,2026-09-09,-1560111.756045,2892,BUY
2026-09-04-5880-BUY,2026-09-09,-1366099.141966875,5880,BUY
2026-09-08-0050-SELL,2026-09-11,1864749.885386625,0050,SELL
2026-09-08-2412-SELL,2026-09-11,1511392.0359450001,2412,SELL
2026-09-08-3045-SELL,2026-09-11,1637839.1957375002,3045,SELL
2026-09-08-4904-SELL,2026-09-11,1530807.15103125,4904,SELL
2026-09-08-2880-BUY,2026-09-11,-1706610.05508825,2880,BUY
2026-09-08-2886-BUY,2026-09-11,-1652236.455375,2886,BUY
2026-09-08-2892-BUY,2026-09-11,-1710064.731313125,2892,BUY
2026-09-08-5880-BUY,2026-09-11,-1497226.6351980001,5880,BUY
2026-09-15-0050-SELL,2026-09-18,6671707.257859875,0050,SELL
2026-09-15-2412-BUY,2026-09-18,-862167.0230774999,2412,BUY
2026-09-15-2880-BUY,2026-09-18,-987286.383743625,2880,BUY
2026-09-15-2886-BUY,2026-09-18,-981728.8611209999,2886,BUY
2026-09-15-2892-BUY,2026-09-18,-1033599.0722655,2892,BUY
2026-09-15-3045-BUY,2026-09-18,-869176.51107,3045,BUY
2026-09-15-4904-BUY,2026-09-18,-857160.24594,4904,BUY
2026-09-15-5880-BUY,2026-09-18,-1031195.8192395,5880,BUY
